Iout (VC=-0.3) X,Iout (VC=-0.3) Y,Iout (VC=-0.15) X,Iout (VC=-0.15) Y,Iout (VC=0) X,Iout (VC=0) Y,Iout (VC=0.15) X,Iout (VC=0.15) Y,Iout (VC=0.3) X,Iout (VC=0.3) Y
-0.2778000000000004,5.484086356397712e-10,-0.2778000000000004,5.458966155844807e-10,-0.2778000000000004,5.465872985245537e-10,-0.2778000000000004,5.532205048666896e-10,-0.2778000000000004,5.789744121151587e-10
-0.2772000000000004,5.485520519722326e-10,-0.2772000000000004,5.459970036372979e-10,-0.2772000000000004,5.467041079328503e-10,-0.2772000000000004,5.53458871906075e-10,-0.2772000000000004,5.796513277190145e-10
-0.2766000000000004,5.486983804074511e-10,-0.2766000000000004,5.460994770116166e-10,-0.2766000000000004,5.468232842422048e-10,-0.2766000000000004,5.537017675623465e-10,-0.2766000000000004,5.803403161125985e-10
-0.2760000000000004,5.488476764676579e-10,-0.2760000000000004,5.462040752257305e-10,-0.2760000000000004,5.469448719508418e-10,-0.2760000000000004,5.539492750380783e-10,-0.2760000000000004,5.810415933826289e-10
-0.2754000000000004,5.48999996805215e-10,-0.2754000000000004,5.463108385380858e-10,-0.2754000000000004,5.470689160291262e-10,-0.2754000000000004,5.542014789469522e-10,-0.2754000000000004,5.81755379058127e-10
-0.2748000000000004,5.491553988000522e-10,-0.2748000000000004,5.46419808146898e-10,-0.2748000000000004,5.471954628543156e-10,-0.2748000000000004,5.544584657473049e-10,-0.2748000000000004,5.824818971267985e-10
-0.2742000000000004,5.493139414057033e-10,-0.2742000000000004,5.465310258015225e-10,-0.2742000000000004,5.473245593504755e-10,-0.2742000000000004,5.547203233654024e-10,-0.2742000000000004,5.83221375307061e-10
-0.2736000000000005,5.494756841204825e-10,-0.2736000000000005,5.466445341257695e-10,-0.2736000000000005,5.47456253315254e-10,-0.2736000000000005,5.549871414812888e-10,-0.2736000000000005,5.839740456302157e-10
-0.2730000000000005,5.496406883124221e-10,-0.2730000000000005,5.467603765606011e-10,-0.2730000000000005,5.475905933994323e-10,-0.2730000000000005,5.552590114779741e-10,-0.2730000000000005,5.847401444277829e-10
-0.2724000000000005,5.498090160578061e-10,-0.2724000000000005,5.468785975323784e-10,-0.2724000000000005,5.477276293648025e-10,-0.2724000000000005,5.555360261866913e-10,-0.2724000000000005,5.855199123036414e-10
-0.2718000000000005,5.499807306256245e-10,-0.2718000000000005,5.469992422215251e-10,-0.2718000000000005,5.478674120299272e-10,-0.2718000000000005,5.558182805091325e-10,-0.2718000000000005,5.8631359410806e-10
-0.2712000000000005,5.501558967417867e-10,-0.2712000000000005,5.471223566188778e-10,-0.2712000000000005,5.480099927349784e-10,-0.2712000000000005,5.561058709418658e-10,-0.2712000000000005,5.87121439238116e-10
-0.2706000000000005,5.503345803002046e-10,-0.2706000000000005,5.472479875168605e-10,-0.2706000000000005,5.481554241451711e-10,-0.2706000000000005,5.563988957083686e-10,-0.2706000000000005,5.879437020216288e-10
-0.2700000000000005,5.505168481969347e-10,-0.2700000000000005,5.473761829015689e-10,-0.2700000000000005,5.483037598531488e-10,-0.2700000000000005,5.566974550942957e-10,-0.2700000000000005,5.887806407707124e-10
-0.2694000000000005,5.507027689954066e-10,-0.2694000000000005,5.475069915105519e-10,-0.2694000000000005,5.484550546949731e-10,-0.2694000000000005,5.570016510524346e-10,-0.2694000000000005,5.896325190374208e-10
