Iout (VM=-0.15) X,Iout (VM=-0.15) Y,Iout (VM=-0.075) X,Iout (VM=-0.075) Y,Iout (VM=0) X,Iout (VM=0) Y,Iout (VM=0.075) X,Iout (VM=0.075) Y,Iout (VM=0.15) X,Iout (VM=0.15) Y
-0.2904000000000002,1.128758938096194e-09,-0.2904000000000002,5.98822785298565e-10,-0.2904000000000002,5.459817550307734e-10,-0.2904000000000002,5.409354456067132e-10,-0.2904000000000002,5.402929976699374e-10
-0.2898000000000002,1.139918255315949e-09,-0.2898000000000002,5.999239465225888e-10,-0.2898000000000002,5.460751312576639e-10,-0.2898000000000002,5.40936449770905e-10,-0.2898000000000002,5.402856419758367e-10
-0.2892000000000002,1.151282283843256e-09,-0.2892000000000002,6.010464650999108e-10,-0.2892000000000002,5.461704693809547e-10,-0.2892000000000002,5.409376503847657e-10,-0.2892000000000002,5.402783229695959e-10
-0.2886000000000002,1.162854350804107e-09,-0.2886000000000002,6.021907546216083e-10,-0.2886000000000002,5.462678065150736e-10,-0.2886000000000002,5.40939050751057e-10,-0.2886000000000002,5.402710410148879e-10
-0.2880000000000002,1.174637817936095e-09,-0.2880000000000002,6.033572370240776e-10,-0.2880000000000002,5.463671806089857e-10,-0.2880000000000002,5.409406541003267e-10,-0.2880000000000002,5.402637962533563e-10
-0.2874000000000002,1.186636080789963e-09,-0.2874000000000002,6.045463422332977e-10,-0.2874000000000002,5.464686301168394e-10,-0.2874000000000002,5.409424641013223e-10,-0.2874000000000002,5.402565891512258e-10
-0.2868000000000002,1.198852569040104e-09,-0.2868000000000002,6.057585085693338e-10,-0.2868000000000002,5.465721945470395e-10,-0.2868000000000002,5.409444840625358e-10,-0.2868000000000002,5.40249419909262e-10
-0.2862000000000002,1.211290745505182e-09,-0.2862000000000002,6.069941834012797e-10,-0.2862000000000002,5.466779139552744e-10,-0.2862000000000002,5.409467177292756e-10,-0.2862000000000002,5.402422887125841e-10
-0.2856000000000002,1.223954105486168e-09,-0.2856000000000002,6.082538221195297e-10,-0.2856000000000002,5.467858290942725e-10,-0.2856000000000002,5.409491687088282e-10,-0.2856000000000002,5.402351957933879e-10
-0.2850000000000003,1.236846176738615e-09,-0.2850000000000003,6.095378896764749e-10,-0.2850000000000003,5.468959817302595e-10,-0.2850000000000003,5.409518404743405e-10,-0.2850000000000003,5.402281416616689e-10
-0.2844000000000003,1.24997051865374e-09,-0.2844000000000003,6.108468598339544e-10,-0.2844000000000003,5.470084140071033e-10,-0.2844000000000003,5.409547373881223e-10,-0.2844000000000003,5.402211264076182e-10
-0.2838000000000003,1.263330721293854e-09,-0.2838000000000003,6.12181215407943e-10,-0.2838000000000003,5.471231697379951e-10,-0.2838000000000003,5.40957862710651e-10,-0.2838000000000003,5.402141505504136e-10
-0.2832000000000003,1.276930405102447e-09,-0.2832000000000003,6.135414491925163e-10,-0.2832000000000003,5.472402926145703e-10,-0.2832000000000003,5.409612208544395e-10,-0.2832000000000003,5.402072141769866e-10
-0.2826000000000003,1.290773220068883e-09,-0.2826000000000003,6.149280632044085e-10,-0.2826000000000003,5.473598277039699e-10,-0.2826000000000003,5.409648153387627e-10,-0.2826000000000003,5.402003178699427e-10
