Iout (IBIAS=2e-09) X,Iout (IBIAS=2e-09) Y,Iout (IBIAS=5e-09) X,Iout (IBIAS=5e-09) Y,Iout (IBIAS=1e-08) X,Iout (IBIAS=1e-08) Y,Iout (IBIAS=1.5e-08) X,Iout (IBIAS=1.5e-08) Y,Iout (IBIAS=2.5e-08) X,Iout (IBIAS=2.5e-08) Y
-0.3,5.134687454244701e-10,-0.3,5.342732377990512e-10,-0.3,5.447267842387001e-10,-0.3,5.502700149321652e-10,-0.3,5.578915971411091e-10
-0.2994,5.134740857406582e-10,-0.2994,5.343024300154937e-10,-0.2994,5.447933168690684e-10,-0.2994,5.503774395835311e-10,-0.2994,5.580781783967178e-10
-0.2988,5.134796955065461e-10,-0.2988,5.343307391914694e-10,-0.2988,5.448612754355447e-10,-0.2988,5.504858343488516e-10,-0.2988,5.582685029826817e-10
-0.2982,5.134855792097804e-10,-0.2982,5.34359767622547e-10,-0.2982,5.449307158538729e-10,-0.2982,5.505964857641512e-10,-0.2982,5.584626552429484e-10
-0.2976,5.134917416524261e-10,-0.2976,5.343895288327871e-10,-0.2976,5.450016659760336e-10,-0.2976,5.507094372050293e-10,-0.2976,5.586607083696729e-10
-0.297,5.134981877738006e-10,-0.297,5.344200363786668e-10,-0.297,5.450741543173946e-10,-0.297,5.508247320540873e-10,-0.297,5.58862736745603e-10
-0.2964000000000001,5.135049226238481e-10,-0.2964000000000001,5.344513039248215e-10,-0.2964000000000001,5.45148210036324e-10,-0.2964000000000001,5.509424146331948e-10,-0.2964000000000001,5.59068816436128e-10
-0.2958000000000001,5.135119510781595e-10,-0.2958000000000001,5.344833457308851e-10,-0.2958000000000001,5.452238623998543e-10,-0.2958000000000001,5.510625303703085e-10,-0.2958000000000001,5.592790245491689e-10
-0.2952000000000001,5.135192786404451e-10,-0.2952000000000001,5.345161761112968e-10,-0.2952000000000001,5.453011416078759e-10,-0.2952000000000001,5.511851253879062e-10,-0.2952000000000001,5.594934402146774e-10
-0.2946000000000001,5.135269105409765e-10,-0.2946000000000001,5.345498098517477e-10,-0.2946000000000001,5.453800784510575e-10,-0.2946000000000001,5.51310246904819e-10,-0.2946000000000001,5.597121436182003e-10
-0.2940000000000001,5.135348520160853e-10,-0.2940000000000001,5.34584261498721e-10,-0.2940000000000001,5.454607041211625e-10,-0.2940000000000001,5.514379426881767e-10,-0.2940000000000001,5.599352166915872e-10
-0.2934000000000001,5.135431088311224e-10,-0.2934000000000001,5.346195465799616e-10,-0.2934000000000001,5.455430507501544e-10,-0.2934000000000001,5.515682617241022e-10,-0.2934000000000001,5.601627432245789e-10
-0.2928000000000001,5.135516863720483e-10,-0.2928000000000001,5.346556806368287e-10,-0.2928000000000001,5.456271505698056e-10,-0.2928000000000001,5.51701254061665e-10,-0.2928000000000001,5.603948080173703e-10
-0.2922000000000001,5.13560590455005e-10,-0.2922000000000001,5.346926793550165e-10,-0.2922000000000001,5.457130367455781e-10,-0.2922000000000001,5.518369701835241e-10,-0.2922000000000001,5.606314983248492e-10
-0.2916000000000001,5.13569826856719e-10,-0.2916000000000001,5.347305587930304e-10,-0.2916000000000001,5.45800743242787e-10,-0.2916000000000001,5.519754620982095e-10,-0.2916000000000001,5.608729023147457e-10
-0.2910000000000001,5.135794016398889e-10,-0.2910000000000001,5.347693355422498e-10,-0.2910000000000001,5.458903043308762e-10,-0.2910000000000001,5.521167823587646e-10,-0.2910000000000001,5.611191103672514e-10
-0.2904000000000002,5.135893209261069e-10,-0.2904000000000002,5.348090261765801e-10,-0.2904000000000002,5.459817550307734e-10,-0.2904000000000002,5.522609850842901e-10,-0.2904000000000002,5.613702142677911e-10
-0.2898000000000002,5.135995907016004e-10,-0.2898000000000002,5.348496477181925e-10,-0.2898000000000002,5.460751312576639e-10,-0.2898000000000002,5.524081248556741e-10,-0.2898000000000002,5.616263079464239e-10
-0.2892000000000002,5.136102172347155e-10,-0.2892000000000002,5.348912176798673e-10,-0.2892000000000002,5.461704693809547e-10,-0.2892000000000002,5.525582577473007e-10,-0.2892000000000002,5.618874868625829e-10
-0.2886000000000002,5.136212070945805e-10,-0.2886000000000002,5.349337537273972e-10,-0.2886000000000002,5.462678065150736e-10,-0.2886000000000002,5.527114405113299e-10,-0.2886000000000002,5.621538485130076e-10
-0.2880000000000002,5.136325669310052e-10,-0.2880000000000002,5.349772739556995e-10,-0.2880000000000002,5.463671806089857e-10,-0.2880000000000002,5.528677315800272e-10,-0.2880000000000002,5.624254920549868e-10
-0.2874000000000002,5.136443031437609e-10,-0.2874000000000002,5.350217967467226e-10,-0.2874000000000002,5.464686301168394e-10,-0.2874000000000002,5.530271898196815e-10,-0.2874000000000002,5.627025189601912e-10
-0.2868000000000002,5.13656422644035e-10,-0.2868000000000002,5.350673409089284e-10,-0.2868000000000002,5.465721945470395e-10,-0.2868000000000002,5.531898756352802e-10,-0.2868000000000002,5.629850323663844e-10
-0.2862000000000002,5.136689324187598e-10,-0.2862000000000002,5.351139254824998e-10,-0.2862000000000002,5.466779139552744e-10,-0.2862000000000002,5.533558507046171e-10,-0.2862000000000002,5.632731372215546e-10
-0.2856000000000002,5.136818395047787e-10,-0.2856000000000002,5.351615699014857e-10,-0.2856000000000002,5.467858290942725e-10,-0.2856000000000002,5.53525177666613e-10,-0.2856000000000002,5.635669411489393e-10
-0.2850000000000003,5.136951509503882e-10,-0.2850000000000003,5.352102942237689e-10,-0.2850000000000003,5.468959817302595e-10,-0.2850000000000003,5.536979200969361e-10,-0.2850000000000003,5.638665533204815e-10
-0.2844000000000003,5.137088744012365e-10,-0.2844000000000003,5.352601184983273e-10,-0.2844000000000003,5.470084140071033e-10,-0.2844000000000003,5.538741435957986e-10,-0.2844000000000003,5.641720854189038e-10
-0.2838000000000003,5.137230172589413e-10,-0.2838000000000003,5.35311063528644e-10,-0.2838000000000003,5.471231697379951e-10,-0.2838000000000003,5.540539142029408e-10,-0.2838000000000003,5.644836507869022e-10
-0.2832000000000003,5.137375867425381e-10,-0.2832000000000003,5.353631501743141e-10,-0.2832000000000003,5.472402926145703e-10,-0.2832000000000003,5.54237299849901e-10,-0.2832000000000003,5.648013655104936e-10
